"rank","name","image","first_appearance_game","first_appearance_year","description","did_you_know","source","last_updated"
40,"Trevor Philips ","https://howchoo.com/media/m2/e4/nz/trevor-philips.jpeg?width=900&auto=webp&quality=70","Grand Theft Auto V","2013","How does Trevor Philips get away with wearing sweatpants every day? Easy. When you're as dangerous as he is, you can pretty much wear whatever you want. Philips is a playable character in Grand Theft Auto V and certainly the most remembered. This is due, in part, to the stellar acting of Steve Ogg, who used motion-sensing controls to act out Philips' cut scenes and voiced the character. While he's certainly a bad dude in the game, however, Philips actually has a heart and cares about some people in his life. That certainly contributes to his stature amongst those who play GTA—that, and his being the main playable character in the online version of the game. ","Steve Ogg, who acted Philips, claims that he used Charles Bronson as inspiration for the character's demeanor.","howchoo.com","2021-05-15"
39,"Gordon Freeman ","https://howchoo.com/media/nw/q2/ym/gordon-freeman.jpeg?width=900&auto=webp&quality=70","Half-Life","1998","Make a physicist and researcher a weapon-wielding hero, and you're going to end up with some cool weapons. Gordon Freeman, the protagonist of the series Half-Life, wields everything from an energy-field manipulator to a gluon gun. Freeman must fight an alien race known as headcrabs after being one of the few survivors of a massive attack. As a researcher, the game highlights that he did very little that was of actual effect; now, Freeman's saving the planet one headcrab at a time. ","The original name for Gordon Freeman was going to be ""Dyson Poincaré,"" which is a combination of mathematician Henri Poincaré and philosopher Freeman Dyson.","howchoo.com","2021-05-15"
38,"Cortana ","https://howchoo.com/media/yj/c0/zd/cortana.jpeg?width=900&auto=webp&quality=70","Halo: Combat Evolved","2001","Many players know her as the voice in their ears as they learn the storyline behind the Halo series of games. Cortana is an artificially intelligent character that provides information throughout the game and figures into the story. She has a complex relationship with Master Chief, who also appears on this list. While she's artificially intelligent, she also contains real emotional depth, which critiques the idea that robots are incapable of the same levels of humanness as humans. ","Cortana inspired Microsoft's artificially intelligent personal assistant with the same name.","howchoo.com","2021-05-15"
37,"Sam Fisher ","https://howchoo.com/media/nd/y4/nt/sam-fisher.jpeg?width=900&auto=webp&quality=70","Splinter Cell","2002","The protagonist of both the Splinter Cell games and a series of novels by Tom Clancy, Sam Fisher, is your classic black-ops video game hero. He's proficient with computers, tracking bad guys, and generally saving the world. He's employed by a fictional branch of the NSA called the ""Third Echelon"" and involved in various undercover missions. Later he becomes the leader of the ""Fourth Echelon,"" another branch with a direct line to the President of the United States. ","In the novels, Sam Fisher has the ability to fall asleep at will, which is an ability that proves useful when he needs to sleep in less-than-comfortable circumstances.","howchoo.com","2021-05-15"
36,"Diddy Kong ","https://howchoo.com/media/od/u0/nm/diddy-kong.jpeg?width=900&auto=webp&quality=70","Donkey Kong Country","1994","Diddy Kong is a mini-Kong of sorts and has more chimpanzee elements than Donkey Kong. He lives with Donkey Kong on Donkey Kong Island, where they romp and explore as best friends. While Diddy Kong is certainly not as recognizable as Donkey Kong, he is a fan favorite and even has his own set of games from Nintendo, such as Diddy Kong Racing and Diddy Kong's Quest. In-game, Diddy Kong can jump higher and climb easier than his clunkier counterpart, Donkey Kong. ","Diddy Kong marks the first time that Nintendo has branded its logo in-game. Notice Diddy Kong's red hat? Guess what logo can be seen adorning the front.","howchoo.com","2021-05-15"
35,"Ellie (The Last of Us) ","https://howchoo.com/media/zt/iw/zw/ellie-last-of-us.jpeg?width=900&auto=webp&quality=70","The Last of Us","2013","Soon to be portrayed by Bella Ramsey in the upcoming HBO show The Last of Us, Ellie is the video game character everybody roots for. She is escorted by Joe Miller, who also appears on our list, through the US, as she is one of the few immune survivors of a plague. She becomes humanity's last hope of overcoming the terrible infection. Her subversion of the classic stereotypes of a scared little girl makes her unique among video games and helps win the respect of many gamers. She is also one of the first video game characters to be openly queer, winning her approval from the LGBT community. ","Players of the game received a welcome surprise when Ellie became playable for a portion of The Last of Us. Developers kept this a secret before the game's release, and most players were really excited to control the secondary character.","howchoo.com","2021-05-15"
34,"Jill Valentine ","https://howchoo.com/media/nj/zl/yw/jill-valentine.jpeg?width=900&auto=webp&quality=70","Resident Evil","1996","Here's the character you'd want with you anytime you had to go into a spooky house! Jill Valentine has seen it all and somehow keeps coming back for more. She's the main character in the Resident Evil series of games, which are downright scary to play. She fights against the Umbrella Corporation, which has used genetic mutations and drugs to unleash zombies and other foul creatures upon the world. A handful of Resident Evil films helped to solidify her position on the list of iconic video game characters. ","Resident Evil was one of the first games to offer alternate costumes for its playable character, which became a staple for the series and the gaming industry as a whole.","howchoo.com","2021-05-15"
33,"Big Boss (Snake) ","https://howchoo.com/media/nz/y5/mm/big-boss-metal-gear.jpeg?width=900&auto=webp&quality=70","Metal Gear","1987","Father of ""Solid Snake,"" who appears later on our list, the aptly named Big Boss is the leader of a group of terrorists—Outer Heaven. Many critics note that what makes Big Boss such a great character is his believable evolution into a villain. In prequels to the main storyline, Big Boss is revealed to be a special forces officer who becomes disillusioned with the US government when he is betrayed and lied to. His earlier name is revealed to be ""Naked Snake,"" though he's often just referred to as ""Snake"" in the game. ","There's a love scene between Big Boss and EVA that was actually inspired by the original Pink Panther!","howchoo.com","2021-05-15"
32,"Spryo ","https://howchoo.com/media/yt/g5/zt/spyro.jpeg?width=900&auto=webp&quality=70","Spyro the Dragon","1998","The cutest dragon in all video games—Spyro! Cute as Spyro is, he can still breathe fire with the best of them. His other attack is to charge at enemies and knock them up. His ability to glide in-game allows him to land on some hard-to-reach platforms and areas. This made him fairly unique in the platform gaming world and made the gameplay more unique. ","Spyro's egg was lost when his family disappeared, so Spyro was raised by dragonflies.","howchoo.com","2021-05-15"
31,"Ezio Auditore da Firenze ","https://howchoo.com/media/ow/vl/nj/ezio-auditore-da-firenze.jpeg?width=900&auto=webp&quality=70","Assassin's Creed: Lineage","2009","When Assassin's Creed was first released, the game received high praise for its ingenuity in gameplay and story-telling. A big part of the success was due to its main character, who appears in the game as the descendant of Desmond Miles. Desmond returns to his ancestor's memories by force so that a secret organization can learn the truth of the past. Ezio is a skilled assassin who climbs walls and completes quests that lead toward uncovering dark secrets. His movement in the game was fairly novel at the time and has been repeated by many games since. ","While there's no real evidence that an assassin's guild—like the one portrayed in the game—really existed, the closest such organization was a medieval Islamic guild that preferred public displays instead of secret killings.","howchoo.com","2021-05-15"
30,"Scorpion ","https://howchoo.com/media/md/g5/nm/scorpion.jpeg?width=900&auto=webp&quality=70","Mortal Kombat","1992","""Get over here!"" One of the original playable characters in the game Mortal Kombat, he quickly became one of the fan favorites. Scorpion is an undead ninja out to avenge his death and his family's. His main nemesis is Quan Chi, an evil sorcerer. His other main rival is Sub-Zero, a ninja from a rival clan who bears some resemblance to Scorpion. His signature (and some say OP) move in the game is to throw a spear with a rope attached to it, stunning and pulling his enemies toward him.","To save money, designers liked the idea of essentially having a ninja recolor become two separate characters, each with their own backstory. Thus Scorpion and Sub-Zero were born.","howchoo.com","2021-05-15"
29,"Marcus Fenix ","https://howchoo.com/media/yt/jm/mj/marcus-fenix.jpeg?width=900&auto=webp&quality=70","Gears of War","2006","A former escaped convict turned into a weapon by the government? We've never heard that storyline before. Okay, so many Marcus Fenix doesn't have the most original background of the characters on the list, but he does have the hearts of anyone familiar with the Gears of War franchise. He's your classic tough guy and saves the world by taking down one baddie after another. He a sergeant for COG (The Coalition of Governments) and fights against the Locust Horde. ","Not everyone loves Marcus Fenix...not at all! In fact, many game publications regularly disparage Fenix for his foul mouth and just general cliche character tropes.","howchoo.com","2021-05-15"
28,"Joel Miller ","https://howchoo.com/media/nj/iw/md/joel-miller.jpeg?width=900&auto=webp&quality=70","The Last of Us","2013","Joel Miller is likely to move way up our list once HBO releases their upcoming series based on The Last of Us. It's been confirmed that Joel Miller's character will be played by Pedro Pascal, who's known for playing the Mandolorian in the Star Wars series with the same name. In-game, Joel escorts a little girl named Ellie through a landscape ravaged by a deadly disease. They attempt to bring the girl to a place where a cure can be made from her immunity. Joel is a very likable character in the game if a bit complex at times. And it's his heroic and friendly nature that's won him so many fans. ","Troy Baker, who plays Joel in the games, has won numerous awards for his voice acting and portrayal of the character from institutions like the British Academy of Video Games.","howchoo.com","2021-05-15"
27,"Chun-Li ","https://howchoo.com/media/n2/y2/nj/chun-li.jpeg?width=900&auto=webp&quality=70","Street Fighter II: The World Warrior","1991","Imagine getting kicked by Chun-Li. Yeah, it would hurt...a...lot. Chun-Li is a Chinese martial artist, Interpol officer, and all-around wickedly cool character to play in-game. She seeks revenge against M. Bison for the death of her father. She's known for her flipping-attach, which some consider still to be one of the best moves in the entire game. ","Chun-Li holds the distinction of being the first playable female character in ANY fighting game!","howchoo.com","2021-05-15"
26,"Duke Nukem ","https://howchoo.com/media/zd/i1/mj/duke-nukem.jpeg?width=900&auto=webp&quality=70","Duke Nukem","1991","There's nobody more in love with themselves than Duke Nukem! And fans love him too. He's known mostly for his skills with sidearms and his trademark RayBan sunglasses. In his earliest iterations, Duke Nukem barely spoke and played like more of a silent assassin. That changed with the later games in the series, with Nukem becoming more and more of a hyper-macho-action character with a slightly snarky attitude. There's even talk of an upcoming film starring John Cena as Duke Nukem. ","Duke Nukem wrote an autobiography. In Duke Nukem II, the Duke himself wrote a book called ""Why I'm So Great."" I can think of only a few real-life people who might be so bold as to title an autobiography like that.","howchoo.com","2021-05-15"
25,"William Joseph ""B.J."" Blazkowicz ","https://howchoo.com/media/mg/m3/nt/william-joseph-bj-blazkowicz.jpeg?width=900&auto=webp&quality=70","Wolfenstein 3D","1992","Long before Quentin Tarantino's Inglourious Basterds, Wolfenstein was the series that rewrote history and allowed players to kill Nazis at will. Its main character, BJ Blazkowicz, was an American of Jewish and Polish descent, so there's a built-in revenge tale to his story. A former Army Ranger, he was recruited by the OSA (Office of Secret Actions) to kill babies for the US government. ","The 2019 movie Doom: Annihilation made a nod to Blazkowicz when an identified body found on Mars is named ""William Blazkowicz.""","howchoo.com","2021-05-15"
24,"Toad ","https://howchoo.com/media/mz/ez/y2/toad.jpeg?width=900&auto=webp&quality=70","Super Mario Bros.","1985","Toad has the distinction of being one of the only non-playable iconic video game characters to be featured on our list (though he is playable in a couple of spinoffs and in Super Smash Bros). Toad is more of an assistant and an attendant to Princess Peach. Toad also represents the many Toads that make up the population of the Mushroom Kingdom. Even given his minimal role in many of the games, Toad is popular with gamers because he's cute and might be the jolliest character Nintendo has ever made. ","Toad received his name from the word ""toadstool,"" which is another word for mushroom. Toadstools are often depicted with their red caps and white spots, which resemble Toad's cap.","howchoo.com","2021-05-15"
23,"John Marston ","https://howchoo.com/media/nt/fl/zt/john-marston.jpeg?width=900&auto=webp&quality=70","Red Dead Redemption","2010","As if straight out of a classic Western film, John Marston is the playable protagonist in the Red Dead Redemption series and everybody's favorite gun-for-hire. To secure his family's safe return from the US government, Marston must hunt down and kill his former gang members. What makes Marston a compelling Western-themed protagonist is that he is both hero and a villain at times. We are aware of his seedy past, and yet we still sympathize with his struggle to return to normal family life. ","Marston's in-game character, played by Rob Wiethoff, uses performance capture—which blends actual scenes captured by the actor along with voice acting.","howchoo.com","2021-05-15"
22,"Solid Snake ","https://howchoo.com/media/y2/fk/yz/solid-snake.jpeg?width=900&auto=webp&quality=70","Metal Gear","1987","The ultimate super-soldier, Solid Snake is the controllable protagonist in the iconic Metal Gear series of video games. He is a former Green Beret and a highly-trained special operations soldier with an incredibly high IQ (180) and a knowledge of various languages. Think Jason Borne, minus the memory loss. Like many other classic video game soldiers, he ends up being a loner for much of the game. He only really feels alive when a player controls him to complete missions, which is pretty convenient!","Solid Snake is named after ""Snake Plissken,"" played by Kurt Russel in the movie Escape from New York.","howchoo.com","2021-05-15"
21,"Bowser ","https://howchoo.com/media/mz/gw/yz/bowser.jpeg?width=900&auto=webp&quality=70","Super Mario Bros.","1985","One of gaming's classic antagonists, Bowser made his debut in Super Mario Bros. as the classic villain who steals away the princess, Princess Peach, from Mario. Make no bones about it, Bowser is obsessed with Princess Peach, just as much as he's obsessed with gaining control of the Mushroom Kingdom. His popularity was immediate in one of the highest grossing video game franchises, and he's appeared in just about every Mario game since his first appearance. We have this to say about Bowser: he's the angriest turtle ever made!","Originally, Bowser was designed to be an ox. An ox? Yes, an ox. It's kind of hard to imagine the greatest videogame villain as an angry ox, which is likely why he was changed to a massive turtle.","howchoo.com","2021-05-15"
20,"Cloud Strife ","https://howchoo.com/media/yz/u1/mm/cloud-strife.jpeg?width=900&auto=webp&quality=70","Final Fantasy VII","1997","The main character in what some call the greatest video game ever made, Cloud Strife is immediately recognizable to most video game fans with his blonde, spikey hair and massive sword, The Buster Sword. Many relate to Cloud's rocky past. His origins are with the SOLDIER group, but he later becomes a rebel with the AVALANCHE. He is the main protagonist in the story and the leader of the player's party throughout the game. ","The earliest versions of Cloud had him with slicked-back hair and a more muscular physique. This was due, partly, to the limitations expected on the graphics upon release. His much more cartoon-like character morphed into what we know as Cloud Strife once the graphics improved as the development continued.","howchoo.com","2021-05-15"
19,"Kratos ","https://howchoo.com/media/zg/iy/mz/kratos.jpeg?width=900&auto=webp&quality=70","God of War","2005","Kratos looks like he could be a bouncer at one of the toughest bars in the world—and in many ways, that's kind of what he is. The character Kratos is based on the Greek god with the same name. In the God of War series, Kratos a part-villain, part-hero, with the player learning his tragic backstory throughout the game. It's exactly that complexity, based on real narratives from Greek Mythology, that make this character so iconic. ","In Greek mythology, Kratos, along with his siblings Nike, Bia, and Zelus, each personifies a particular trait. Kratos, as you might guess, personifies ""strength."" I mean...just look at those shoulders.","howchoo.com","2021-05-15"
18,"Big Daddy ","https://howchoo.com/media/yz/yx/ot/big-daddy.jpeg?width=900&auto=webp&quality=70","BioShock","2007","The ultimate steampunk robot dream, Big Daddy is essentially a mechanized human who's been heavily ""spliced."" His role in the game is to protect the Little Sisters who appear throughout Rapture. Players encounter Big Daddy often during the game when trying to acquire ADAM—a substance that gives energy and strength to the players in the game. And as long as you don't mess with the Little Sisters, Big Daddy will not harm you during gameplay. But harm the Little Sisters, and a player will be facing quite a menacing foe. What contributes to his iconic stature is both the popularity of the game BioShock and the incredible design of the character itself. ","The earliest designs of Big Daddy weren't anywhere near as impressive as what he became. In the earliest iterations of the character, he was nothing more than an underwater diver with a diving helmet.","howchoo.com","2021-05-15"
17,"Kitana ","https://howchoo.com/media/ot/zm/n2/kitana-mortal-kombat.jpeg?width=900&auto=webp&quality=70","Mortal Kombat 2","1993","Kitana is a playable character in the Mortal Kombat franchise of games and princess of the Outworld (later becoming the ruler). She is best friends with the character, Jade, and fights alongside her to overthrow the rulers of the Outland. In the early games, Kitana believes her father to be Shao Khan but later learns that her birth father is King Jerrod, who she killed. For many, Kitana is their favorite Mortal Kombat character because she was one of the earliest female characters in the game. She has a storyline that's much more compelling than most female video game characters. ","Talisa Soto, who played Kitana in the 1995 film Mortal Kombat, underwent extensive martial training to perform some of the moves with Kitana's signature deadly fan. She also underwent extensive learning from her nephews and nieces about how cool Kitana was!","howchoo.com","2021-05-15"
16,"Tom Nook ","https://howchoo.com/media/ng/rj/ng/tom-nook-animal-crossing.jpeg?width=900&auto=webp&quality=70","Animal Crossing","2001","Cute but greedy would be one way to summarize Tom Nook's character in the game Animal Crossing. The only real estate agent in town, Tom Nook sells players their first house when they start the game (with a payable mortgage of course!). He also operates the village store in town. Some really dislike Tom Nook and see him as an exploitative opportunist who's greedy and with little good to him. Others really love Tom Nook and see him as a shrewd businessman. Either way, he's definitely a recognizable character in a game series that's sold more than 50 million units to date. ","Tom Nook's character is based on a tanuki or Japanese raccoon-dog, legendary in Japanese culture as sly and mischievous little creatures.","howchoo.com","2021-05-15"
15,"Luigi ","https://howchoo.com/media/yj/qz/zd/luigi.jpeg?width=900&auto=webp&quality=70","Mario Bros.","1983","Hey! It's Mario's twin brother! While he might not be as high on our list as his fraternal twin, many gaming fans prefer Luigi a lot more. For one, he's got a killer shade of green on his outfit. Like his older brother, Luigi is indeed a plumber. His traits differ slightly from Mario, however. While Mario is undoubtedly brave, Luigi tends to be more timid, shy, and scared. Just check out his character in Luigi's Mansion for evidence of that (which happens to be a great game). In some games, Luigi can also jump higher, though his jumping can be unwieldy. ","Luigi was inspired by a pizza parlor near the Nintendo offices in Washington. The restaurant was called ""Mario & Luigi's,"" and thus, the names of the plumbers were born.","howchoo.com","2021-05-15"
14,"Yoshi ","https://howchoo.com/media/zt/ky/nd/yoshi.jpeg?width=900&auto=webp&quality=70","Super Mario World","1990","It's Yoshi—the lovable dinosaur sidekick of Mario and Luigi! First appearing in Dinosaur Land in the Super Mario World game, Yoshi became one of the first rideable characters in a video game. He can grab objects with his tongue, spit them out aflame, or lay them into an egg thrown by the player. Besides being a side character in various Mario games, he has his own set of games as well, where he features as the main character. He's also a trendy character to play in the Mario Kart series. Yoshi has to be the most recognizable video game dragon, even if he is more cute than scary!","Designers originally intended Yoshi to be in the original Super Mario Bros. and even made drawings of him for the game. However, the processing limitations at the time prevented adding a rideable character to the game.","howchoo.com","2021-05-15"
13,"Commander Shepard ","https://howchoo.com/media/ot/rk/zm/commander-shepard-female-version.jpeg?width=900&auto=webp&quality=70","Mass Effect","2007","While we showcase the female version of Commander Shepard, players could choose to have Shepard be either male or female in the game. There was some careful writing of the dialogue in the game to maintain a gender-neutral atmosphere for the player. And really, that reflects a lot of what makes Commander Shepard so popular with gamers. She/He is a kind of blank canvas, on which the player can customize a character that feels the most enjoyable with which to play the game. Mass Effect also happens to one of the best video games of all time and certainly one of the best-written games ever made. And it's that compelling storyline, one that is character-driven like a great novel, that seals Commander Shepard as one of video gaming's great protagonists. ","When deciding on what to name the character, developers chose to honor astronaut Alan Shepard, the first American to travel into space.","howchoo.com","2021-05-15"
12,"Agent 47 ","https://howchoo.com/media/nw/mx/nz/agent-47.jpeg?width=900&auto=webp&quality=70","Hitman: Codename 47","2000","The assassin from the Hitman franchise of games has to be one of the most iconic suit-wearing video game characters of all time; though, his outfit will change when doing various missions. Agent 47 is actually a clone from the DNA of five different men, each with certain physical and mental attributes. He can be controlled by another agent, who is the player. This doesn't leave him with much of a personality, of course, which makes him all the more attractive to many fans. He has one mission: to kill his target—though if he enjoys his work, we would never know it!","The actual location of Agent 47's safehouse has never been revealed in any of the Hitman games thus far.","howchoo.com","2021-05-15"
11,"Pikachu ","https://howchoo.com/media/nt/iy/mj/pikachu.jpeg?width=900&auto=webp&quality=70","Pokémon Red and Blue","1996","When one individual Pokémon comes to define the entire franchise, you know that it's really something special. And Pikachu has done just that! Pikachu is an electric-type Pokémon in the video games.  One big reason for the pokémon's popularity is that he is the partner of Ash Ketchum as the starter Pokémon in the anime series. Another likely reason is that Pikachu is just so darn cute! And it doesn't hurt when you have your own film made about you (Pokémon Detective Pikachu), and you're voiced by Ryan Reynolds. ","Pikachu was one of ten Japanese mascots in the 2014 FIFA World Cup.","howchoo.com","2021-05-15"
10,"Geralt of Rivia ","https://howchoo.com/media/zw/ex/zt/geralt-of-rivia.jpeg?width=900&auto=webp&quality=70","The Witcher","2007","Most recently played by Henry Cavill in the television show The Witcher, Geralt of Rivia is now a recognizable figure even among non-gamers. Geralt is a magical demon hunter known as a ""Witcher"" and possesses magical abilities through genetic mutations. While the video game doesn't explore Geralt of Rivia in as much depth as the television show or the novels, players learn about the training he received to be a ""Witcher"" and his quests. However, if you really want the full experience of the character, you'll need to combine gameplay with some TV binging!","For many, Geralt of Rivia is more known for his appearances in short stories and novels by Polish author Andrzej Sapkowski. A box set of the complete Witcher novel series can be purchased, translated into English.","howchoo.com","2021-05-15"
9,"Master Chief ","https://howchoo.com/media/md/e2/zm/master-chief.jpeg?width=900&auto=webp&quality=70","Halo: Combat Evolved","2001","The supersoldier protagonist of the Halo series of games, Master Chief holds a special place in the hearts of anyone who grew up on the iconic shooting game franchise. He's often compared with Superman and Spiderman in terms of his character and motivation. He's a protector and about as tough as they come. One of the most surprising things about players' love for the Chief is that Master Chief rarely speaks in the games. That love probably stems from allowing the players themselves to really be Master Chief and speak for them in their own minds. ","The only time Master Chief's face can be seen is when beating Halo 4 on the highest difficulty. A cut scene will briefly show his eyes as he removes his helmet.","howchoo.com","2021-05-15"
8,"Ryu (Street Fighter) ","https://howchoo.com/media/yt/jk/mz/ryu-street-fighter.jpeg?width=900&auto=webp&quality=70","Street Fighter","1987","Not to be confused with Ryu, the protagonist of the Breath of Fire series, this Ryu is the lead character of the Street Fighter series. He is a Japanese martial artist based on real-life karate master—Mas Oyama. Over time, Ryu evolved into a more muscular figure with a widening array of attacks and defensive moves in the series. He's likely the most iconic fighting-game character of all time. In the 1994 film version of the game, Ryu is played by Byron Mann, and both Ryu and his brother Ken have found their way into many animated films and shorts, as well. Ryu is famous for the misquote: ""You must defeat Sheng Long to stand a chance."" ","Ryu's Hadouken (or energy-ball attack) was inspired by the sci-fi anime series Space Battleship Yamato from the 1970s, which the game designer used to watch as a kid.","howchoo.com","2021-05-15"
7,"Mega Man ","https://howchoo.com/media/yw/ex/nz/mega-man.jpeg?width=900&auto=webp&quality=70","Mega Man","1987","Some may point out that there are several Mega Mans, so maybe he shouldn't be on the list. But we include him as one character from the classic video game series from Capcom, Mega Man. Mega Man is the bionic hero who dashes, jumps really high, and shoots energy pulses out of his arm cannon. And if you played games back in the day, he was a fixture on your video game cartridge shelf. In each new version of the game (and there have been many), Mega Man gains new abilities and new attributes to enhance him and the gameplay. He's a classic and has to be in the top 10 of any list of famous video game characters. ","A unique gameplay feature that Mega Man began was the ability to steal weapons and their features from downed robot enemies. This offered choices and reward to the players for taking down their foes. Now, it's a standard element in many RPGs and side-scrollers.","howchoo.com","2021-05-15"
