Season,Game,Start,Completed,Completion time,Completion time in seconds,Notes,Source
Season 2,Touhou Puppet Play 1.8 Enhanced,10-May-15,24-May-15,"13 days, 15 hours, 44 minutes",1179840,"Uses two modded versions of Pokémon FireRed at once known as Touhou Puppet Play 1.8 Enhanced which uses characters from the Touhou Project game series in place of Pokémon is utilized, as well as the hack Moémon. Both were being completed simultaneously.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Moémon,10-May-15,24-May-15,"13 days, 15 hours, 44 minutes",1179840,"Uses two modded versions of Pokémon FireRed at once known as Touhou Puppet Play 1.8 Enhanced which uses characters from the Touhou Project game series in place of Pokémon is utilized, as well as the hack Moémon. Both were being completed simultaneously.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Randomized Alpha Sapphire,12-Jul-15,26-Jul-15,"14 days, 1 hour, 17 minutes",1214220,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves. Super Smash Bros. for Wii U matches, played by computer AIs, were streamed alongside the Alpha Sapphire playthrough.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Colosseum,12-Oct-15,18-Oct-15,"6 days 3 hours, 27 minutes",530820,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon XD: Gale of Darkness,12-Dec-15,20-Dec-15,8 days 4 hours 9 minutes,706140,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Trading Card Game,20-Dec-15,13-Feb-16,"7 weeks, 6 days, 25 minutes, 6 seconds",4753506,"Similarly to Pokémon Vietnamese Crystal, this game was played intermittently throughout Pokémon Battle Revolution. The game was completed during the Anniversary Crystal intermission.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Trading Card Game 2,13-Feb-16,08-Apr-16,"7 weeks, 6 days",4752000,Started during the pre-Anniversary Crystal intermission. Finished during post-Anniversary Crystal intermission.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Anniversary Crystal,14-Feb-16,16-Mar-16,"30 days, 4 hours, 33 minutes",2608380,Similar to Anniversary Red in which a modded version is used and it's required to catch all Pokémon to complete the game.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Mystery Dungeon: Red Rescue Team,12-Feb-16,27-Jan-17,"50 weeks, 2 hours, 24 minutes",30248640,Played as a sidegame both alongside Pokémon Battle Revolution and other runs. It was temporarily replaced by Pokémon Ultra.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Brown,16-Jun-16,27-Jun-16,"11 days, 2 hours",957600,One of the original serious ROM hacks based on Pokémon Red.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Randomized Platinum,31-Jul-16,16-Aug-16,"15 days, 4 hours, 2 minutes",1310520,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Ultra,16-Aug-16,28-Oct-16,"10 weeks, 3 days, 11 hours, 41 minutes",6349260,"A poorly made ROM hack based on Pokémon Leaf Green. Like Pokémon Vietnamese Crystal and the Pokémon Trading Card Game before it, it is a sidegame and is played between Pokémon Battle Revolution matches.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Prism,09-Oct-16,26-Oct-16,"16 days, 23 hours, 18 minutes",1466280,The sequel to Pokémon Brown. It debuted on TPP after being in development for almost eight years.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Sun,18-Nov-16,02-Dec-16,"13 days, 22 hours",1202400,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 3,Pokémon Waning Moon,13-Jan-17,26-Jan-17,"13 days, 11 hours, 37 minutes",1165020,"Used a modded, more difficult version of Pokémon Moon.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Chatty Yellow,12-Feb-17,24-Feb-17,"11 days, 19 hours",1018800,"The third anniversary run. Uses a modified version of Pokémon Yellow centered around Chatot, which utilizes scripting to take quotes from users in the chat to replace in-game dialogue in real time.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Dark Graystone,24-Feb-17,13-Mar-17,"2 weeks, 3 days, 4 hours, 4 minutes, 57 seconds",1483440,Uses a modified version of Pokémon Gold. Played as a sidegame like VC and Ultra.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Ash Gray,13-Mar-17,29-Sep-17,"28 weeks, 4 days, 28 minutes, 6 seconds",17281686,Uses a modified version of Pokémon FireRed based on the events of the Pokémon anime. Played as a sidegame.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Blazed Glazed,08-Apr-17,25-Apr-17,"16 days, 16 hours",1440000,"Uses a modified version of an existing modified version of Pokémon Emerald, known as Pokémon Glazed.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Randomized White 2,03-Jun-17,20-Jun-17,"16 days, 18 hours, 11 minutes",1447860,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Pyrite,12-Aug-17,26-Aug-17,"14 days, 7 hours, 58 minutes",1238280,Uses a modified version of Pokémon Crystal featuring increased difficulty and other changes.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Theta Emerald EX,30-Sep-17,15-Oct-17,15 days,1296000,"A modified version of Pokémon Emerald which features increased difficulty, 721 Pokémon as well as various other changes from later generations.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Green,15-Oct-17,13-Apr-18,"25 weeks, 5 days, 3 hours, 45 minutes, 36 seconds",15565500,Badly translated bootleg. Played as a sidegame.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 4,Pokémon Ultra Sun,25-Nov-17,08-Dec-17,"13 days, 4 hours, 7 minutes",1138020,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Red and Blue,12-Feb-18,27-Feb-18,"14 days, 1 hour, 50 minutes",1216200,"A dual run in which Pokémon Red and Pokémon Blue are played simultaneously. Unlike the previous dual run, inputs are split between the two games and users can choose to input specifically for one game or let it alternate between them.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Red and Blue,12-Feb-18,27-Feb-18,"14 days, 1 hour, 50 minutes",1216200,"A dual run in which Pokémon Red and Pokémon Blue are played simultaneously. Unlike the previous dual run, inputs are split between the two games and users can choose to input specifically for one game or let it alternate between them.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Storm Silver,14-Apr-18,04-May-18,"19 days, 3 hours",1652400,A romhack of Pokémon SoulSilver in which all Pokémon from up to the fourth generation are available as well as various other minor changes.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Sweet,04-May-18,10-Feb-19,"40 weeks, 1 day, 23 hours, 56 minutes, 23 seconds",24364560,"A romhack of Pokémon FireRed with ""candified"" Pokémon known as PokéSweets. Played as a sidegame.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Bronze,09-Jun-18,18-Jun-18,"8 days, 8 hours, 21 minutes",721260,A romhack of Pokémon Gold.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Randomized Y,11-Aug-18,26-Aug-18,"14 days, 11 hours, 26 minutes",1250760,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Detective Pikachu,08-Sep-18,10-Sep-18,"1 day, 22 hours, 47 minutes",168420,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Flora Sky,13-Oct-18,29-Oct-18,"16 days, 2 hours, 42 minutes",1392120,A romhack of Pokémon Emerald featuring an original story and Pokémon from the fourth and fifth generations.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Hypno's Lullaby,30-Oct-18,12-Nov-18,"1 week, 5 days, 23 hours, 55 minutes, 43 seconds",1122900,"A romhack of Pokémon FireRed based on the creepypasta, Hypno's Lullaby. Played as a sidegame.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 5,Pokémon Crystal Randofuser,08-Dec-18,19-Dec-18,"10 days, 9 hours, 1 minute",896460,A romhack of Pokémon Crystal which fuses different Pokémon together.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Burning Red,12-Feb-19,22-Feb-19,"9 days, 13 hours, 33 minutes",826380,"Used a romhack with the ability to switch between Pokémon Red and Pokémon FireRed. Pokémon, money and most items are transferred between both games.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Burning Red,12-Feb-19,22-Feb-19,"9 days, 13 hours, 33 minutes",826380,"Used a romhack with the ability to switch between Pokémon Red and Pokémon FireRed. Pokémon, money and most items are transferred between both games.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Gold Space World Demo,02-Mar-19,30-Mar-19,"4 weeks, 23 hours, 33 minutes, 15 seconds",2503995,An early demo of Pokémon Gold that was playable at Nintendo Space World 1997 featuring Pokémon that are unused in the final game. Played as a sidegame.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Metronome Sapphire,31-Mar-19,19-Dec-19,TBD,,Uses a modded version with a pseudorandom number generator to change the predetermined Pokémon and sets them all to Level 100 with only the move Metronome. Ended as a full-run and continues as a sidegame as of 3 April 2019.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Volt White,13-Apr-19,25-Apr-19,"11 days, 21 hours, 16 minutes",1026960,A romhack of Pokémon White featuring all Pokémon from the fifth generation available as well as various other changes.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Randomized Colosseum,08-Jun-19,15-Jun-19,"6 days, 5 hours, 34 minutes, 21 seconds",538461,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon XG: NeXt Gen,13-Jul-19,21-Jul-19,"8 days, 1 hour, 40 minutes",697200,A romhack of Pokémon XD: Gale of Darkness.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon TriHard Emerald,10-Aug-19,20-Aug-19,"9 days, 21 hours, 34 minutes",855240,"A romhack of Pokémon Emerald where defeated Pokémon are permanently removed from the party, similar to a Nuzlocke Challenge. The main difference being that upon loss of a battle, the game reverses to a previous save. Meaning that removed Pokémon can technically be restored at the cost of a loss of progress.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Randomized Ultra Moon,12-Oct-19,23-Oct-19,"10 days, 16 hours, 2 minutes, 17 seconds",921737,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon Sword,23-Nov-19,01-Dec-19,"7 days, 23 hours, 57 minutes",691020,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 6,Pokémon NavyBlue,01-Dec-19,Ongoing,TBD,,"A romhack of Pokémon FireRed played as a sidegame. Extremely poorly made game, with many poorly made fan Pokémon.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet Red,13-Feb-20,19-Feb-20,"6 days, 18 hours, 43 minutes",585780,The Gauntlet is a rerun of most of the games played during Season 1 played one after the other.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet Crystal,23-Feb-20,03-Mar-20,"8 days, 16 hours, 19 minutes, 43 seconds",749983,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet Emerald,07-Mar-20,18-Mar-20,"11 days, 20 hours, 10 minutes, 15 seconds",1023015,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet Platinum,28-Mar-20,05-Apr-20,"8 days, 14 hours",741600,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet Blaze Black 2,12-Apr-20,27-Apr-20,14 days,1209600,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Gauntlet X,03-May-20,10-May-20,"7 days, 5 seconds",604805,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Lightning Sapphire,05-May-20,10-Dec-20,"30 weeks, 2 days, 22 hours, 38 minutes, 3 seconds",18398280,A bad translation of Pokémon Sapphire. Was the final sidegame before a vote to remove them.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Sirius,13-Jun-20,23-Jun-20,"10 days, 1 hour, 12 minutes, 54 seconds",868374,A romhack of Pokémon Emerald and the prequel to Pokémon Vega.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Rising Ruby,08-Aug-20,21-Aug-20,"12 days, 22 hours, 16 minutes",1116960,A romhack of Pokémon Omega Ruby including higher difficulty and all sixth generation Pokémon obtainable.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 7,Pokémon Vega,12-Dec-20,25-Dec-20,"12 days, 11 hours, 14 minutes",1077240,A romhack of Pokémon Emerald and the sequel to Pokémon Sirius.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Chatty Crystal,14-Feb-21,08-Mar-21,"21 days, 3 hours, 40 minutes",1827600,"The seventh anniversary run. Uses a modified version of Pokémon Crystal centered around Unown and Chatot, which utilizes scripting to take quotes from users in the chat to replace in-game dialogue in real time.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Renegade Platinum,10-Apr-21,21-Apr-21,"10 days, 19 hours, 50 minutes",935400,"A romhack of Pokémon Platinum including higher difficulty, balance changes and all generation IV Pokémon obtainable.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Green,08-May-21,10-May-21,"1 day, 3 hours, 32 minutes, 15 seconds",99135,"A collaboration between two other Twitch Plays streams in which they raced to see who could complete Pokémon Green, Pokémon Blue and Pokémon Red respectively.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Blue,08-May-21,10-May-21,"1 day, 7 hours, 22 minutes, 42 seconds",112962,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Red,08-May-21,10-May-21,"1 day, 11 hours, 3 minutes, 13 seconds",126193,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Dragon Ball Z Team Training,13-May-21,N/A,TBD,,A romhack of Pokémon FireRed featuring characters from the Dragon Ball Z anime series in place of Pokémon. Played as a sidegame.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Randomized Black,03-Jul-21,12-Jul-21,"8 days, 4 hours, 56 minutes",708960,"A romhack of Pokémon Platinum including higher difficulty, balance changes and all generation IV Pokémon obtainable.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Randomized Black 2,12-Jul-21,29-Jul-21,"17 days, 7 hours, 35 minutes",1496100,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Emerald,13-Aug-21,17-Aug-21,"3 days, 9 hours, 48 minutes, 21 seconds",294501,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 8,Pokémon Blazing Emerald,21-Aug-21,N/A,N/A,,A romhack of Pokémon Emerald.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
