Name,Phy,Mag,Fire,Ligh,Holy,CritBoost,Str,Dex,Int,Fai,Arc,Wgt,Skill,Category,category_url,last_updated
Golden Epitaph,85 25,- 15,- 15,- 15,85 40,100 30,12 D,10 D,- - ,14 D,- - ,3.5,25 Last Rites,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Sword of St Trina,107 39,32 33,- 27,- 27,- 27,100 28,10 D,12 D,14 E,- - ,- - ,3,20 Mists of Slumber,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Regalia of Eochaid,89 48,57 40,- 31,- 31,- 31,100 33,12 E,18 D,- - ,- - ,15 D,5.5,15 Eochaid's Dancing Blade,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Coded Sword,- 13,- 22,- 22,- 22,85 58,100 27,- - ,- - ,- - ,20 B,- - ,2.5,25 Unblockable Blade,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Sword of Night and Flame,87 36,56 42,56 42,- 26,- 26,100 31,12 E,12 E,24 D,24 D,- - ,4,- (26 32) Night- and- Flame Stance,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Bastard Sword,138 65,- 35,- 35,- 35,- 35,100 42,16 D,10 D,- - ,- - ,- - ,9,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Claymore,138 65,- 35,- 35,- 35,- 35,100 42,16 D,13 D,- - ,- - ,- - ,9,20 Lion's Claw,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Iron Greatsword,149 73,- 39,- 39,- 39,- 39,100 47,18 C,10 E,- - ,- - ,- - ,12,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Lordsworn's Greatsword,136 65,- 35,- 35,- 35,- 35,110 42,16 D,10 D,- - ,- - ,- - ,9,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Knight's Greatsword,141 68,- 36,- 36,- 36,- 36,100 44,16 D,12 D,- - ,- - ,- - ,10,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Banished Knight's Greatsword,142 68,- 36,- 36,- 36,- 36,100 44,17 D,9 D,- - ,- - ,- - ,10,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Forked Greatsword,124 61,- 33,- 33,- 33,- 33,100 39,14 D,16 D,- - ,- - ,- - ,9,5( - 8 ) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Flamberge,129 65,- 35,- 35,- 35,- 35,100 42,15 D,14 C,- - ,- - ,- - ,10,5 (- 8) Stamp (Upward Cut),Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Gargoyle's Greatsword,133 71,- 38,- 38,- 38,- 38,100 46,18 C,10 E,- - ,- - ,- - ,11.5,18 Vacuum Slice,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Gargoyle's Blackblade,102 60,- 33,- 33,- 33,122 66,100 46,18 D,10 E,- - ,22 D,- - ,11.5,20 Corpse Wax Cutter,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Inseparable Sword,98 59,- 34,- 34,- 34,98 52,100 44,18 D,18 D,- - ,20 C,- - ,10,19 Sacred Blade,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Sword of Milos,141 68,- 36,- 36,- 36,- 36,100 44,15 D,19 D,- - ,- - ,- - ,10,30 Shriek of Milos,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Marais Executioner's Sword,94 68,61 49,- 36,- 36,- 36,100 46,24 C,14 E,- - ,- - ,23 D,11.5,15 Eochaid's Dancing Blade,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Ordovis's Greatsword,107 69,- 37,- 37,- 37,69 50,100 47,25 C,13 E,- - ,15 D,- - ,12,15 Ordovis's Vortex,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Alabaster Lord's Sword,128 56,38 33,- 27,- 27,- 27,100 39,16 D,12 E,18 D,- - ,- - ,8,15 Alabaster Lords' Pull,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Death's Poker,123 60,36 39,- 33,- 33,- 33,100 39,15 D,17 D,11 E,- - ,- - ,8.5,15 (10 10) Ghostflame Ignition,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Helphen's Steeple,101 66,101 60,- 33,- 33,- 33,100 46,19 D,10 E,22 D,- - ,- - ,11.5,20 Ruinous Ghostflame,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Blasphemous Blade,121 72,- 39,78 54,- 39,- 39,100 50,22 D,15 D,- - ,21 D,- - ,13.5,30 Taker's Flames,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Golden Order Greatsword,86 55,- 30,- 30,- 30,103 60,100 42,16 E,21 D,- - ,28 C,- - ,10,20 (- 20) Establish Order,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Dark Moon Greatsword,82 57,98 63,- 31,- 31,- 31,100 44,16 D,11 D,38 C,- - ,- - ,10,40 Moonlight Greatsword,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Sacred Relic Sword,118 62,- 33,- 33,- 33,76 45,110 42,14 E,24 D,- - ,22 D,- - ,11,50 Wave of Gold,Greatswords,https://eldenring.wiki.fextralife.com/Greatswords,15/08/2022
Zweihander,141 67,- 40,- 40,- 40,- 40,100 45,19 D,11 D,- - ,- - ,- - ,15.5,5 (- 8) Stamp (Upward Cut),Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Greatsword,164 84,- 50,- 50,- 50,- 50,100 56,31 C,12 E,- - ,- - ,- - ,23,5 (- 8) Stamp (Upward Cut),Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Watchdog's Greatsword,142 82,- 49,- 49,- 49,- 49,100 55,30 C,10 E,- - ,- - ,- - ,22,5 (- 8) Stamp (Upward Cut),Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Troll's Golden Sword,155 76,- 46,- 46,- 46,- 46,100 51,29 D,10 D,- - ,- - ,- - ,19,22 Troll's Roar,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Troll Knight's Sword,124 70,80 55,- 43,- 43,- 43,100 50,20 D,14 D,18 D,- - ,- - ,18,22 Troll's Roar,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Royal Greatsword,112 71,134 63,- 44,- 44,- 44,100 52,26 D,18 E,22 D,- - ,- - ,20,20 Wolf's Assault,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Grafted Blade Greatsword,162 80,- 48,- 48,- 48,- 48,100 53,40 C,14 E,- - ,- - ,- - ,21,20 Oath of Vengeance,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Ruins Greatsword,124 82,37 56,- 50,- 50,- 50,100 56,50 B,- - ,16 E,- - ,- - ,23,25 Wave of Destruction,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Starscourge Greatsword,129 65,83 47,- 34,- 34,- 34,100 52,38 D,12 D,15 E,- - ,- - ,20,20 (- 20) Starcaller Cry,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Godslayer's Greatsword,119 63,- 38,77 49,- 38,- 38,100 45,20 D,22 D,- - ,20 D,- - ,17.5,15 (- 15) The Queen's Black Flame,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Maliketh's Black Blade,127 68,- 36,- 36,- 36,82 49,100 55,34 D,12 E,- - ,20 D,- - ,22,40 Destined Death,Colossal Swords,https://eldenring.wiki.fextralife.com/Colossal+Swords,15/08/2022
Scimitar,106 40,- 30,- 30,- 30,- 30,100 25,7 D,13 D,- - ,- - ,- - ,3,6 (- 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Falchion,109 42,- 31,- 31,- 31,- 31,100 26,9 D,13 D,- - ,- - ,- - ,3.5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Shamshir,108 42,- 31,- 31,- 31,- 31,100 28,7 D,13 D,- - ,- - ,- - ,3.5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Grossmesser,115 46,- 34,- 34,- 34,- 34,100 28,14 D,12 D,- - ,- - ,- - ,4.5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Bandit's Curved Sword,118 48,- 36,- 36,- 36,- 36,100 30,11 D,13 D,- - ,- - ,- - ,5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Shotel,96 37,- 27,- 27,- 27,- 27,100 22,9 E,19 D,- - ,- - ,- - ,2,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Scavenger's Curved Sword,105 40,- 30,- 30,- 30,- 30,100 25,9 D,14 D,- - ,- - ,- - ,3.5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Mantis Blade,112 44,- 33,- 33,- 33,- 33,100 27,10 D,12 D,- - ,- - ,- - ,4,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Beastman's Curved Sword,113 44,- 33,- 33,- 33,- 33,100 27,13 C,11 E,- - ,- - ,- - ,4,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Flowing Curved Sword,109 42,- 31,- 31,- 31,- 31,100 26,9 D,17 D,- - ,- - ,- - ,3.5,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Serpent-God's Curved Sword,113 44,- 33,- 33,- 33,- 33,100 27,13 D,9 E,- - ,- - ,- - ,4,6 ( - 12) Spinning Slash,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Magma Blade,96 44,- 30,62 44,- 30,- 30,100 27,9 D,15 D,- - ,16 D,- - ,4,12 Magma Shower,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Nox Flowing Sword,112 40,- 30,- 30,- 30,- 30,100 25,8 E,15 D,- - ,- - ,- - ,3.5,9 Flowing Form,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Wing of Astel,65 28,78 52,- 23,- 23,- 23,100 23,7 E,17 D,20 D,- - ,- - ,2.5,2.5 Nebula,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Eclipse Shotel,77 35,- 25,- 25,- 25,77 50,100 25,10 E,25 D,- - ,30 D,- - ,3,16 ( - 16) Death Flare,Curved Swords,https://eldenring.wiki.fextralife.com/Curved+Swords,15/08/2022
Rapier,96 45,- 30,- 30,- 30,- 30,130 20,7 E,12 C,- - ,- - ,- - ,2.5,14 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Estoc,107 54,- 36,- 36,- 36,- 36,100 24,11 E,13 C,- - ,- - ,- - ,4.5,14 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Noble's Estoc,104 49,- 33,- 33,- 33,- 33,100 22,9 D,10 D,- - ,- - ,- - ,3.5,9 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Cleanrot Knight's Sword,109 51,- 34,- 34,- 34,- 34,100 23,11 D,13 D,- - ,- - ,- - ,4,13 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Rogier's Rapier,93 49,- 33,- 33,- 33,- 33,110 22,8 E,17 C,- - ,- - ,- - ,3.5,7 Repeating Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Antspur Rapier,98 47,- 31,- 31,- 31,- 31,100 25,10 D,20 D,- - ,- - ,- - ,3,14 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Frozen Needle,99 40,- 40,- 28,- 28,- 28,100 20,11 E,18 D,- - ,- - ,- - ,2.5,14 Impaling Thrust,Thrusting Swords,https://eldenring.wiki.fextralife.com/Thrusting+Swords,15/08/2022
Great Epee,124 52,- 36,- 36,- 36,- 36,100 31,15 D,16 D,- - ,- - ,- - ,6.5,9 Impaling Thrust,Heavy Thrusting Swords,https://eldenring.wiki.fextralife.com/Heavy+Thrusting+Swords,15/08/2022
Godskin Stitcher,127 55,- 38,- 38,- 38,- 38,100 33,14 D,17 D,- - ,- - ,- - ,7,9 Impaling Thrust,Heavy Thrusting Swords,https://eldenring.wiki.fextralife.com/Heavy+Thrusting+Swords,15/08/2022
Bloody Helice,121 57,- 40,- 40,- 40,- 40,100 34,16 E,19 D,- - ,- - ,17 D,8,5 ( - 7) Dynast's Finesse,Heavy Thrusting Swords,https://eldenring.wiki.fextralife.com/Heavy+Thrusting+Swords,15/08/2022
Dragon King's Cragblade,92 46,0 32,0 32,59 46,0 32,100 34,18 E,37 D,- - ,- - ,- - ,8,35 Thundercloud Form,Heavy Thrusting Swords,https://eldenring.wiki.fextralife.com/Heavy+Thrusting+Swords,15/08/2022
Dismounter,138 65,- 35,- 35,- 35,- 35,100 42,19 D,16 D,- - ,- - ,- - ,10,6 ( - 12) Spinning Slash,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Omen Cleaver,142 68,- 36,- 36,- 36,- 36,100 44,19 D,16 D,- - ,- - ,- - ,11.5,6 ( - 12) Spinning Slash,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Monk's Flameblade,134 61,- 33,- 33,- 33,- 33,100 39,18 D,18 D,- - ,- - ,- - ,9,6 ( - 12) Spinning Slash,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Beastman's Cleaver,143 81,- 43,- 43,- 43,- 43,100 52,25 C,14 - ,- - ,- - ,- - ,16.5,6 (- 12) Spinning Slash,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Bloodhound's Fang,141 68,- 36,- 36,- 36,- 36,100 44,18 D,17 C,- - ,- - ,- - ,11.5,8 ( - 12) Bloodhound's Finesse,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Onyx Lord's Greatsword,118 57,76 42,- 29,- 29,- 29,100 44,20 D,16 E,16 D,- - ,- - ,11.5,27 Onyx Lord's Repulsion,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Zamor Curved Sword,125 61,- 33,- 33,- 33,- 33,100 39,16 D,18 D,- - ,- - ,- - ,9,15 Zamor Ice Storm,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Magma Wyrm's Scalesword,114 66,- 33,74 48,- 33,- 33,100 50,24 C,15 D,- - ,18 D,- - ,15,20 ( - 10) Magma Guillotine,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Morgott's Cursed Sword,120 55,- 29,- 29,- 29,- 29,110 35,14 E,35 C,- - ,- - ,17 D,7.5,20 (- 20) Cursed- Blood Slice,Curved Greatswords,https://eldenring.wiki.fextralife.com/Curved+Greatswords,15/08/2022
Uchigatana,115 45,- 30,- 30,- 30,- 30,100 30,11 D,15 D,- - ,- - ,- - ,5.5,10 Unsheathe,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Nagakiba,115 49,- 33,- 33,- 33,- 33,100 33,18 D,22 C,- - ,- - ,- - ,7,16 Piercing Fang,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Serpentbone Blade,120 45,- 30,- 30,- 30,- 30,100 30,11 E,22 C,- - ,- - ,- - ,6,6 ( - 3) Double Slash,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Meteoric Ore Blade,112 50,72 45,- 31,- 31,- 31,100 33,15 D,14 E,18 D,- - ,- - ,7.5,13 Gravitas,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Moonveil,73 31,87 57,- 26,- 26,- 26,100 31,12 E,18 D,23 C,- - ,- - ,6.5,6.5 Transient Moonlight,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Rivers of Blood,76 36,- 26,76 52,- 26,- 26,100 31,12 E,18 D,- - ,- - ,20 D,6.5,17 ( - 9) Corpse Piler,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Dragonscale Blade,110 35,- 25,- 25,- 50,- 25,100 30,12 D,20 C,- - ,- - ,- - ,5.5,25 Ice Lightning Sword,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Hand of Malenia,117 49,- 33,- 33,- 33,- 33,100 33,16 E,48 C,- - ,- - ,- - ,7,9 ( - 7) Waterfowl Dance,Katanas,https://eldenring.wiki.fextralife.com/Katanas,15/08/2022
Twinblade,119 45,- 30,- 30,- 30,- 30,100 30,10 D,18 D,- - ,- - ,- - ,7,6 (- 12) Spinning Slash,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Twinned Knight Swords,122 47,- 31,- 31,- 31,- 31,100 31,16 D,18 E,- - ,- - ,- - ,8,6 (- 12) Spinning Slash,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Godskin Peeler,121 47,- 31,- 31,- 31,- 31,100 31,17 E,22 C,- - ,- - ,- - ,8,30 Black Flame Tornado,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Gargoyle's Twinblade,123 48,- 32,- 32,- 32,- 32,100 32,18 C,15 E,- - ,- - ,- - ,8.5,6 ( - 12) Spinning Slash,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Gargoyle's Black Blades,81 32,- 26,- 26,- 26,97 59,100 32,18 C,15 E,- - ,22 D,- - ,8.5,6 ( - 12) Spinning Slash,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Eleonora's Poleblade,72 33,- 23,72 47,- 23,- 23,100 28,12 E,21 D,- - ,- - ,19 D,6,11( - 6) Bloodblade Dance,Twinblades,https://eldenring.wiki.fextralife.com/Twinblades,15/08/2022
Hand Axe,113 42,- 28,- 28,- 28,- 28,100 28,9 D,8 D,- - ,- - ,- - ,3.5,3 Quickstep,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Forked Hatchet,101 40,- 27,- 27,- 27,- 27,100 27,9 D,14 D,- - ,- - ,- - ,2.5,3 Quickstep,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Battle Axe,123 47,- 31,- 31,- 31,- 31,100 31,12 D,8 D,- - ,- - ,- - ,4.5,1 (6 10) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Warped Axe,118 56,- 37,- 37,- 37,- 37,100 43,24 C,8 - ,- - ,- - ,- - ,7.5,16 War Cry,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Jawbone Axe,124 49,- 33,- 33,- 33,- 33,100 36,14 D,8 E,- - ,- - ,- - ,5.5,1 ( 6 10) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Iron Cleaver,120 51,- 34,- 34,- 34,- 34,100 34,15 C,7 E,- - ,- - ,- - ,6,1 (6 10) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Highland Axe,123 47,- 31,- 31,- 31,- 31,110 31,12 D,9 D,- - ,- - ,- - ,4.5,16 War Cry,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Celebrant's Cleaver,119 47,- 31,- 31,- 31,- 31,100 33,12 D,8 D,- - ,- - ,- - ,4.5,2 (10 15) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Sacrificial Axe,128 49,0 33,0 33,0 33,0 33,100 33,16 D,10 D,- - ,- - ,- - ,5.5,2 (10 15) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Icerind Hatchet,111 40,- 27,- 27,- 27,- 27,100 27,11 E,16 D,- - ,- - ,- - ,3,10 Hoarfrost Stomp,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
Ripple Blade,70 47,- 31,- 31,- 31,- 31,100 31,11 - ,11 - ,- - ,- - ,20 A,4.5,2 (10 15) Wild Strikes,Axes,https://eldenring.wiki.fextralife.com/Axes,15/08/2022
