Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,dimension,stage_1_values,stage_2_values,stage_3_values,dimension_type
Diglett,Dugtrio,,50,1,speed,95,120,,Combat Factors
Diglett,Dugtrio,,50,1,height,2,7,,Physical Dimensions
Diglett,Dugtrio,,50,1,weight,8,333,,Physical Dimensions
Meowth,Persian,,52,1,hp,40,65,,Combat Factors
Meowth,Persian,,52,1,attack,45,70,,Combat Factors
Meowth,Persian,,52,1,defense,35,60,,Combat Factors
Meowth,Persian,,52,1,special_attack,40,65,,Combat Factors
Meowth,Persian,,52,1,special_defense,40,65,,Combat Factors
Meowth,Persian,,52,1,speed,90,115,,Combat Factors
Meowth,Persian,,52,1,height,4,10,,Physical Dimensions
Meowth,Persian,,52,1,weight,42,320,,Physical Dimensions
Meowth,Perrserker,,52,1,hp,40,70,,Combat Factors
Meowth,Perrserker,,52,1,attack,45,110,,Combat Factors
Meowth,Perrserker,,52,1,defense,35,100,,Combat Factors
Meowth,Perrserker,,52,1,special_attack,40,50,,Combat Factors
Meowth,Perrserker,,52,1,special_defense,40,60,,Combat Factors
Meowth,Perrserker,,52,1,speed,90,50,,Combat Factors
Meowth,Perrserker,,52,1,height,4,8,,Physical Dimensions
Meowth,Perrserker,,52,1,weight,42,280,,Physical Dimensions
Psyduck,Golduck,,54,1,hp,50,80,,Combat Factors
Psyduck,Golduck,,54,1,attack,52,82,,Combat Factors
Psyduck,Golduck,,54,1,defense,48,78,,Combat Factors
Psyduck,Golduck,,54,1,special_attack,65,95,,Combat Factors
Psyduck,Golduck,,54,1,special_defense,50,80,,Combat Factors
Psyduck,Golduck,,54,1,speed,55,85,,Combat Factors
Psyduck,Golduck,,54,1,height,8,17,,Physical Dimensions
Psyduck,Golduck,,54,1,weight,196,766,,Physical Dimensions
Mankey,Primeape,,56,1,hp,40,65,,Combat Factors
Mankey,Primeape,,56,1,attack,80,105,,Combat Factors
Mankey,Primeape,,56,1,defense,35,60,,Combat Factors
Mankey,Primeape,,56,1,special_attack,35,60,,Combat Factors
Mankey,Primeape,,56,1,special_defense,45,70,,Combat Factors
Mankey,Primeape,,56,1,speed,70,95,,Combat Factors
Mankey,Primeape,,56,1,height,5,10,,Physical Dimensions
Mankey,Primeape,,56,1,weight,280,320,,Physical Dimensions
Growlithe,Arcanine,,58,1,hp,55,90,,Combat Factors
Growlithe,Arcanine,,58,1,attack,70,110,,Combat Factors
Growlithe,Arcanine,,58,1,defense,45,80,,Combat Factors
Growlithe,Arcanine,,58,1,special_attack,70,100,,Combat Factors
Growlithe,Arcanine,,58,1,special_defense,50,80,,Combat Factors
Growlithe,Arcanine,,58,1,speed,60,95,,Combat Factors
Growlithe,Arcanine,,58,1,height,7,19,,Physical Dimensions
Growlithe,Arcanine,,58,1,weight,190,1550,,Physical Dimensions
Poliwag,Poliwhirl,Poliwrath,60,1,hp,40,65,90,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,attack,50,65,95,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,defense,40,65,95,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,special_attack,40,50,70,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,special_defense,40,50,90,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,speed,90,90,70,Combat Factors
Poliwag,Poliwhirl,Poliwrath,60,1,height,6,10,13,Physical Dimensions
Poliwag,Poliwhirl,Poliwrath,60,1,weight,124,200,540,Physical Dimensions
Poliwag,Poliwhirl,Politoed,60,1,hp,40,65,90,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,attack,50,65,75,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,defense,40,65,75,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,special_attack,40,50,90,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,special_defense,40,50,100,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,speed,90,90,70,Combat Factors
Poliwag,Poliwhirl,Politoed,60,1,height,6,10,11,Physical Dimensions
Poliwag,Poliwhirl,Politoed,60,1,weight,124,200,339,Physical Dimensions
Abra,Kadabra,Alakazam,63,1,hp,25,40,55,Combat Factors
Abra,Kadabra,Alakazam,63,1,attack,20,35,50,Combat Factors
Abra,Kadabra,Alakazam,63,1,defense,15,30,45,Combat Factors
Abra,Kadabra,Alakazam,63,1,special_attack,105,120,135,Combat Factors
Abra,Kadabra,Alakazam,63,1,special_defense,55,70,95,Combat Factors
Abra,Kadabra,Alakazam,63,1,speed,90,105,120,Combat Factors
Abra,Kadabra,Alakazam,63,1,height,9,13,15,Physical Dimensions
Abra,Kadabra,Alakazam,63,1,weight,195,565,480,Physical Dimensions
Machop,Machoke,Machamp,66,1,hp,70,80,90,Combat Factors
Machop,Machoke,Machamp,66,1,attack,80,100,130,Combat Factors
Machop,Machoke,Machamp,66,1,defense,50,70,80,Combat Factors
Machop,Machoke,Machamp,66,1,special_attack,35,50,65,Combat Factors
Machop,Machoke,Machamp,66,1,special_defense,35,60,85,Combat Factors
Machop,Machoke,Machamp,66,1,speed,35,45,55,Combat Factors
Machop,Machoke,Machamp,66,1,height,8,15,16,Physical Dimensions
Machop,Machoke,Machamp,66,1,weight,195,705,1300,Physical Dimensions
Bellsprout,Weepinbell,Victreebel,69,1,hp,50,65,80,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,attack,75,90,105,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,defense,35,50,65,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,special_attack,70,85,100,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,special_defense,30,45,70,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,speed,40,55,70,Combat Factors
Bellsprout,Weepinbell,Victreebel,69,1,height,7,10,17,Physical Dimensions
Bellsprout,Weepinbell,Victreebel,69,1,weight,40,64,155,Physical Dimensions
Tentacool,Tentacruel,,72,1,hp,40,80,,Combat Factors
Tentacool,Tentacruel,,72,1,attack,40,70,,Combat Factors
Tentacool,Tentacruel,,72,1,defense,35,65,,Combat Factors
Tentacool,Tentacruel,,72,1,special_attack,50,80,,Combat Factors
Tentacool,Tentacruel,,72,1,special_defense,100,120,,Combat Factors
Tentacool,Tentacruel,,72,1,speed,70,100,,Combat Factors
Tentacool,Tentacruel,,72,1,height,9,16,,Physical Dimensions
Tentacool,Tentacruel,,72,1,weight,455,550,,Physical Dimensions
Geodude,Graveler,Golem,74,1,hp,40,55,80,Combat Factors
Geodude,Graveler,Golem,74,1,attack,80,95,120,Combat Factors
Geodude,Graveler,Golem,74,1,defense,100,115,130,Combat Factors
Geodude,Graveler,Golem,74,1,special_attack,30,45,55,Combat Factors
Geodude,Graveler,Golem,74,1,special_defense,30,45,65,Combat Factors
Geodude,Graveler,Golem,74,1,speed,20,35,45,Combat Factors
Geodude,Graveler,Golem,74,1,height,4,10,14,Physical Dimensions
Geodude,Graveler,Golem,74,1,weight,200,1050,3000,Physical Dimensions
Ponyta,Rapidash,,77,1,hp,50,65,,Combat Factors
Ponyta,Rapidash,,77,1,attack,85,100,,Combat Factors
Ponyta,Rapidash,,77,1,defense,55,70,,Combat Factors
Ponyta,Rapidash,,77,1,special_attack,65,80,,Combat Factors
Ponyta,Rapidash,,77,1,special_defense,65,80,,Combat Factors
Ponyta,Rapidash,,77,1,speed,90,105,,Combat Factors
Ponyta,Rapidash,,77,1,height,10,17,,Physical Dimensions
Ponyta,Rapidash,,77,1,weight,300,950,,Physical Dimensions
Slowpoke,Slowbro,,79,1,hp,90,95,,Combat Factors
Slowpoke,Slowbro,,79,1,attack,65,75,,Combat Factors
Slowpoke,Slowbro,,79,1,defense,65,110,,Combat Factors
Slowpoke,Slowbro,,79,1,special_attack,40,100,,Combat Factors
Slowpoke,Slowbro,,79,1,special_defense,40,80,,Combat Factors
Slowpoke,Slowbro,,79,1,speed,15,30,,Combat Factors
Slowpoke,Slowbro,,79,1,height,12,16,,Physical Dimensions
Slowpoke,Slowbro,,79,1,weight,360,785,,Physical Dimensions
Slowpoke,Slowking,,79,1,hp,90,95,,Combat Factors
Slowpoke,Slowking,,79,1,attack,65,75,,Combat Factors
Slowpoke,Slowking,,79,1,defense,65,80,,Combat Factors
Slowpoke,Slowking,,79,1,special_attack,40,100,,Combat Factors
Slowpoke,Slowking,,79,1,special_defense,40,110,,Combat Factors
Slowpoke,Slowking,,79,1,speed,15,30,,Combat Factors
Slowpoke,Slowking,,79,1,height,12,20,,Physical Dimensions
Slowpoke,Slowking,,79,1,weight,360,795,,Physical Dimensions
Magnemite,Magneton,Magnezone,81,1,hp,25,50,70,Combat Factors
Magnemite,Magneton,Magnezone,81,1,attack,35,60,70,Combat Factors
Magnemite,Magneton,Magnezone,81,1,defense,70,95,115,Combat Factors
Magnemite,Magneton,Magnezone,81,1,special_attack,95,120,130,Combat Factors
Magnemite,Magneton,Magnezone,81,1,special_defense,55,70,90,Combat Factors
Magnemite,Magneton,Magnezone,81,1,speed,45,70,60,Combat Factors
Magnemite,Magneton,Magnezone,81,1,height,3,10,12,Physical Dimensions
Magnemite,Magneton,Magnezone,81,1,weight,60,600,1800,Physical Dimensions
Farfetch'd,Sirfetch'd,,83,1,hp,52,62,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,attack,90,135,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,defense,55,95,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,special_attack,58,68,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,special_defense,62,82,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,speed,60,65,,Combat Factors
Farfetch'd,Sirfetch'd,,83,1,height,8,8,,Physical Dimensions
Farfetch'd,Sirfetch'd,,83,1,weight,150,1170,,Physical Dimensions
Doduo,Dodrio,,84,1,hp,35,60,,Combat Factors
Doduo,Dodrio,,84,1,attack,85,110,,Combat Factors
Doduo,Dodrio,,84,1,defense,45,70,,Combat Factors
Doduo,Dodrio,,84,1,special_attack,35,60,,Combat Factors
Doduo,Dodrio,,84,1,special_defense,35,60,,Combat Factors
Doduo,Dodrio,,84,1,speed,75,110,,Combat Factors
Doduo,Dodrio,,84,1,height,14,18,,Physical Dimensions
Doduo,Dodrio,,84,1,weight,392,852,,Physical Dimensions
Seel,Dewgong,,86,1,hp,65,90,,Combat Factors
Seel,Dewgong,,86,1,attack,45,70,,Combat Factors
Seel,Dewgong,,86,1,defense,55,80,,Combat Factors
Seel,Dewgong,,86,1,special_attack,45,70,,Combat Factors
Seel,Dewgong,,86,1,special_defense,70,95,,Combat Factors
Seel,Dewgong,,86,1,speed,45,70,,Combat Factors
Seel,Dewgong,,86,1,height,11,17,,Physical Dimensions
Seel,Dewgong,,86,1,weight,900,1200,,Physical Dimensions
Grimer,Muk,,88,1,hp,80,105,,Combat Factors
Grimer,Muk,,88,1,attack,80,105,,Combat Factors
Grimer,Muk,,88,1,defense,50,75,,Combat Factors
Grimer,Muk,,88,1,special_attack,40,65,,Combat Factors
Grimer,Muk,,88,1,special_defense,50,100,,Combat Factors
Grimer,Muk,,88,1,speed,25,50,,Combat Factors
Grimer,Muk,,88,1,height,9,12,,Physical Dimensions
Grimer,Muk,,88,1,weight,300,300,,Physical Dimensions
Shellder,Cloyster,,90,1,hp,30,50,,Combat Factors
Shellder,Cloyster,,90,1,attack,65,95,,Combat Factors
Shellder,Cloyster,,90,1,defense,100,180,,Combat Factors
Shellder,Cloyster,,90,1,special_attack,45,85,,Combat Factors
Shellder,Cloyster,,90,1,special_defense,25,45,,Combat Factors
Shellder,Cloyster,,90,1,speed,40,70,,Combat Factors
Shellder,Cloyster,,90,1,height,3,15,,Physical Dimensions
Shellder,Cloyster,,90,1,weight,40,1325,,Physical Dimensions
Gastly,Haunter,Gengar,92,1,hp,30,45,60,Combat Factors
Gastly,Haunter,Gengar,92,1,attack,35,50,65,Combat Factors
Gastly,Haunter,Gengar,92,1,defense,30,45,60,Combat Factors
Gastly,Haunter,Gengar,92,1,special_attack,100,115,130,Combat Factors
Gastly,Haunter,Gengar,92,1,special_defense,35,55,75,Combat Factors
Gastly,Haunter,Gengar,92,1,speed,80,95,110,Combat Factors
Gastly,Haunter,Gengar,92,1,height,13,16,15,Physical Dimensions
Gastly,Haunter,Gengar,92,1,weight,1,1,405,Physical Dimensions
Onix,Steelix,,95,1,hp,35,75,,Combat Factors
Onix,Steelix,,95,1,attack,45,85,,Combat Factors
Onix,Steelix,,95,1,defense,160,200,,Combat Factors
Onix,Steelix,,95,1,special_attack,30,55,,Combat Factors
Onix,Steelix,,95,1,special_defense,45,65,,Combat Factors
Onix,Steelix,,95,1,speed,70,30,,Combat Factors
Onix,Steelix,,95,1,height,88,92,,Physical Dimensions
Onix,Steelix,,95,1,weight,2100,4000,,Physical Dimensions
Drowzee,Hypno,,96,1,hp,60,85,,Combat Factors
Drowzee,Hypno,,96,1,attack,48,73,,Combat Factors
Drowzee,Hypno,,96,1,defense,45,70,,Combat Factors
Drowzee,Hypno,,96,1,special_attack,43,73,,Combat Factors
Drowzee,Hypno,,96,1,special_defense,90,115,,Combat Factors
Drowzee,Hypno,,96,1,speed,42,67,,Combat Factors
Drowzee,Hypno,,96,1,height,10,16,,Physical Dimensions
Drowzee,Hypno,,96,1,weight,324,756,,Physical Dimensions
Krabby,Kingler,,98,1,hp,30,55,,Combat Factors
Krabby,Kingler,,98,1,attack,105,130,,Combat Factors
Krabby,Kingler,,98,1,defense,90,115,,Combat Factors
Krabby,Kingler,,98,1,special_attack,25,50,,Combat Factors
Krabby,Kingler,,98,1,special_defense,25,50,,Combat Factors
Krabby,Kingler,,98,1,speed,50,75,,Combat Factors
Krabby,Kingler,,98,1,height,4,13,,Physical Dimensions
Krabby,Kingler,,98,1,weight,65,600,,Physical Dimensions
Voltorb,Electrode,,100,1,hp,40,60,,Combat Factors
Voltorb,Electrode,,100,1,attack,30,50,,Combat Factors
Voltorb,Electrode,,100,1,defense,50,70,,Combat Factors
Voltorb,Electrode,,100,1,special_attack,55,80,,Combat Factors
Voltorb,Electrode,,100,1,special_defense,55,80,,Combat Factors
Voltorb,Electrode,,100,1,speed,100,150,,Combat Factors
Voltorb,Electrode,,100,1,height,5,12,,Physical Dimensions
Voltorb,Electrode,,100,1,weight,104,666,,Physical Dimensions
Exeggcute,Exeggutor,,102,1,hp,60,95,,Combat Factors
Exeggcute,Exeggutor,,102,1,attack,40,95,,Combat Factors
Exeggcute,Exeggutor,,102,1,defense,80,85,,Combat Factors
Exeggcute,Exeggutor,,102,1,special_attack,60,125,,Combat Factors
Exeggcute,Exeggutor,,102,1,special_defense,45,75,,Combat Factors
Exeggcute,Exeggutor,,102,1,speed,40,55,,Combat Factors
Exeggcute,Exeggutor,,102,1,height,4,20,,Physical Dimensions
Exeggcute,Exeggutor,,102,1,weight,25,1200,,Physical Dimensions
Cubone,Marowak,,104,1,hp,50,60,,Combat Factors
Cubone,Marowak,,104,1,attack,50,80,,Combat Factors
Cubone,Marowak,,104,1,defense,95,110,,Combat Factors
Cubone,Marowak,,104,1,special_attack,40,50,,Combat Factors
