id,name,thumbnail,Vehicle Class,Manufacturer,Available from,Storage Location,Modifications,Title Update,Sell,Release Date,Based on (Real Life Vehicle),In-Game Model Name,Seats / Capacity,Weight (KG),Drivetrain,Gears,Request Delivery,Game Edition/Mode,Top Speed - Real (Broughy),GTA Online Price,Sell Price - Resale,Speed (Stat),Acceleration,Braking,Handling (Traction / Agility),Overall Rating,Vehicle Feature 1,Vehicle Feature 2,Source,Last Updated
4813,Ignus,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/ignus_320x180.jpg,Super,Pegassi,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,Lamborghini Sián FKP 37,ignus,2,1600,All-Wheel Drive,7,Mechanic,GTA Online,124.75,2765000,1659000,85.982353,95.875,33.333336,83.863632,74.76358,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4812,Deity,https://www.gtabase.com/images/gta-5/vehicles/sedans/main/resized/deity_320x180.jpg,Sedans,Enus,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,Bentley Flying Spur,deity,4,2685,Rear-Wheel Drive,8,Mechanic,GTA Online,117.5,1845000,1107000,80.482697,73.125,21.666666,65.15152,60.106471,Armed Vehicle,Imani Tech,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4811,Cinquemila,https://www.gtabase.com/images/gta-5/vehicles/sedans/main/resized/cinquemila_320x180.jpg,Sedans,Lampadati,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,2013 Maserati Quattroporte VI,cinquemila,4,1860,Rear-Wheel Drive,8,Mechanic,GTA Online,121,1740000,1044000,82.628906,88.375,32.5,79.696976,70.800221,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4810,Astron,https://www.gtabase.com/images/gta-5/vehicles/suvs/main/resized/astron_320x180.jpg,SUVs,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,Porsche Macan,astron,4,1970,All-Wheel Drive,7,Mechanic,GTA Online,119.25,1580000,948000,79.785187,81,16,66.21212,60.749327,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4802,Champion,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/champion_320x180.jpg,Super,Dewbauchee,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,Aston Martin Victor,champion,2,1500,Rear-Wheel Drive,6,Mechanic,GTA Online,124.75,2995000,1797000,86.277458,89.75,38.333332,77.763641,73.031108,Armed Vehicle,Imani Tech,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4801,Jubilee,https://www.gtabase.com/images/gta-5/vehicles/suvs/main/resized/jubilee_320x180.jpg,SUVs,Enus,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,Rolls-Royce Cullinan,jubilee,4,2660,All-Wheel Drive,8,Mechanic,GTA Online,116.75,1650000,990000,81.019249,74.375,25,69.242432,62.40917,Armed Vehicle,Imani Tech,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3759,Previon,https://www.gtabase.com/images/gta-5/vehicles/coupes/main/resized/previon_320x180.jpg,Coupes,Karin,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-09-09,Lexus SC 300 (Z30) / Toyota Soarer (Z30),previon,2,1300,Rear-Wheel Drive,5,Mechanic,GTA Online,115.5,1490000,894000,80.187592,79.625008,28.333334,75.348488,65.873606,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3758,Sultan RS Classic,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/sultan-rs-classic_320x180.jpg,Sports,Karin,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-08-26,Subaru Impreza 22B STI,sultan3,2,1150,All-Wheel Drive,5,Mechanic,GTA Online,117.5,1789000,1073400,78.604767,84.625,17.333334,75.606064,64.042291,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3757,Dominator ASP,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/dominator-asp_320x180.jpg,Muscle,Vapid,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-08-05,Ford Mustang SVT Cobra R (New Edge),dominator7,2,1665,Rear-Wheel Drive,5,Mechanic,GTA Online,119,1775000,1065000,80.885117,85.5,30.666668,100,74.262946,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3756,Cypher,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/cypher_320x180.jpg,Sports,Übermacht,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-09-02,BMW M2 (F87) with some design cues from the BMW M6 (F13) and BMW M8 (F92),cypher,2,1625,Rear-Wheel Drive,6,Mechanic,GTA Online,113.5,1550000,930000,79.329117,81.5,23.333334,78.484848,65.661825,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3755,Growler,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/growler_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-08-19,Porsche 718 Cayman,growler,2,1420,Rear-Wheel Drive,7,Mechanic,GTA Online,121.5,1627000,976200,82.548431,83.4375,28,79.696976,68.420727,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3754,Vectre,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/vectre_320x180.jpg,Sports,Emperor,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-08-12,Lexus RC F,vectre,2,1765,All-Wheel Drive,8,Mechanic,GTA Online,115.25,1785000,1071000,79.677879,81,20,79.848488,65.131592,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3753,Comet S2,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/comet-s2_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-29,Porsche 992,comet6,2,1550,Rear-Wheel Drive,7,Mechanic,GTA Online,123,1878000,1126800,83.916626,86.499992,29.333332,100,74.937488,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3744,Remus,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/remus_320x180.jpg,Sports,Annis,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Nissan Silvia S13,remus,2,1105,Rear-Wheel Drive,5,Mechanic,GTA Online,115.5,1370000,822000,78.765747,81.75,29.999998,100,72.628936,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3743,Jester RR,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/jester-rr_320x180.jpg,Sports,Dinka,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Toyota Supra,jester4,2,1575,Rear-Wheel Drive,8,Mechanic,GTA Online,125,1970000,1182000,81.824081,82.275002,28.333334,78.484848,67.729316,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3742,Tailgater S,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/tailgater-s_320x180.jpg,Sedans,Obey,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Audi RS3 Sedan,tailgater2,4,1340,Rear-Wheel Drive,6,Mechanic,GTA Online,115.75,1495000,897000,79.329117,69.375,29.333332,78.636368,64.168454,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3741,Warrener HKR,https://www.gtabase.com/images/gta-5/vehicles/sedans/main/resized/warrener-hkr_320x180.jpg,Sedans,Vulcar,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,"1974 Nissan/Datsun Sunny ""Hakotora""",warrener2,2,965,Rear-Wheel Drive,5,Mechanic,GTA Online,106.5,1260000,756000,78.336494,66.25,31.666666,65.454552,60.426928,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3740,RT3000,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/rt3000_320x180.jpg,Sports,Dinka,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Honda S2000,rt3000,2,1275,Rear-Wheel Drive,6,Mechanic,GTA Online,119.25,1715000,1029000,79.946152,78,33.333336,78.181816,67.365326,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3739,ZR350,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/zr350_320x180.jpg,Sports,Annis,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,1992-2002 Mazda RX-7 (FD),zr350,2,1300,Rear-Wheel Drive,5,Mechanic,GTA Online,117.5,1615000,969000,80.375389,82.500008,28.333334,75.303032,66.627941,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3738,Dominator GTT,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/dominator-gtt_320x180.jpg,Muscle,Vapid,Southern S.A. Super Autos,Garage (Personal Vehicle),LS Car Meet Mod Shop,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,1969-1970 Ford Mustang,dominator8,2,1465,Rear-Wheel Drive,4,Mechanic,GTA Online,115.5,1220000,732000,77.424362,75.675003,25,75.757576,63.464235,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3737,Euros,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/euros_320x180.jpg,Sports,Annis,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Nissan 350Z and Nissan 370Z,euros,2,1466,Rear-Wheel Drive,7,Mechanic,GTA Online,116.5,1800000,1080000,80.402222,81,29.999998,77.621216,67.255859,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3736,Futo GTX,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/futo-gtx_320x180.jpg,Sports,Karin,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Toyota Sprinter Trueno AE86,futo2,2,950,Rear-Wheel Drive,5,Mechanic,GTA Online,119.75,1590000,954000,73.507538,74.125,17.5,63.484848,57.154347,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3735,Calico GTF,https://www.gtabase.com/igallery/7401-7500/resized/GTAOnline_Vehicle_CalicoGTF_Action-7483-360_320x180.jpg,Sports,Karin,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.57 Los Santos Tuners,Can be sold only if purchased (High-End),2021-07-20,Toyota Celica,calico,2,1448,All-Wheel Drive,5,Mechanic,GTA Online,121.25,1995000,1197000,80.348564,84.625,27.5,100,73.118391,Tuners Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3102,ZR380 (Arena),https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/zr-380_320x180.jpg,Sports,Annis,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"Nissan 350Z, Nissan 370Z, Porsche 935",zr380,2,1600,Rear-Wheel Drive,6,Mechanic,GTA Online,140.5,2138640,1283184,84.775108,87.5,26.666668,75.757576,68.674838,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3101,Imperator (Arena),https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/imperator_320x180.jpg,Muscle,Vapid,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"1973 Ford Falcon XB GT, Pursuit Special",imperator,2,2000,Rear-Wheel Drive,4,Mechanic,GTA Online,132.75,2284940,1370964,80.482697,91.25,16.666668,68.181816,64.14529525,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3100,Scarab (Arena),https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/scarab_320x180.jpg,Military,HVY,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,Howe & Howe Ripsaw EV2,scarab,2,5000,All-Wheel Drive,1,Mechanic,GTA Online,119.5,3076290,1845774,53.655136,25,23.333334,68.181816,42.5425715,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3099,Brutus (Arena),https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/brutus_320x180.jpg,Off-Road,Declasse,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"1988 Chevrolet K-2500 Silverado from the film ""Tango & Cash""",brutus,2,3500,All-Wheel Drive,8,Mechanic,GTA Online,123.5,2666650,1599990,75.11718,67.5,20,60.606064,55.805811,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3098,Cerberus (Arena),https://www.gtabase.com/images/gta-5/vehicles/commercial/main/resized/cerberus_320x180.jpg,Commercial,MTL,ArenaWar.tv,Arena Workshop,Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"Peterbilt 281, War Rig from Mad Max: Fury Road",cerberus,2,6500,Rear-Wheel Drive,3,Mechanic,GTA Online,106.25,3870300,2322180,65.459267,47.5,8.333334,48.484848,42.44436225,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3097,Issi (Arena),https://www.gtabase.com/images/gta-5/vehicles/compacts/main/resized/issi-arena_320x180.jpg,Compacts,Weeny,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"Custom 1964 Mini Cooper S, aka ""The Mini""",issi4,2,1200,Rear-Wheel Drive,4,Mechanic,GTA Online,124.25,1089000,653400,75.11718,85,13.333334,60.606064,58.5141445,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3096,Deathbike (Arena),https://www.gtabase.com/images/gta-5/vehicles/motorcycles/main/resized/deathbike_320x180.jpg,Motorcycles,Western,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,Daryl's bike from the TV Series The Walking Dead,deathbike,1,135,Rear-Wheel Drive,4,Mechanic,GTA Online,150,1269000,761400,78.873047,78.125,36.666668,62.121212,63.94648175,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3095,Slamvan (Arena),https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/slamvan-arena_320x180.jpg,Muscle,Vapid,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"Custom 1950 Ford F6, aka ""Stubby Bob""",slamvan4,2,1245,Rear-Wheel Drive,4,Mechanic,GTA Online,121,1321875,793125,72.702705,67.5,13.333334,56.060608,52.39916175,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3094,Sasquatch (Arena),https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/sasquatch_320x180.jpg,Off-Road,Bravado,ArenaWar.tv,Arena Workshop,Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"1940 Dodge W-Series, custom W-Series, aka ""Bigfoot"" in the film Mad Max: Fury Road",monster3,2,4400,All-Wheel Drive,3,Mechanic,GTA Online,121.25,1530875,918525,69.751678,100,21.666666,68.9394,65.089436,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3093,Bruiser (Arena),https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/bruiser_320x180.jpg,Off-Road,Benefactor,ArenaWar.tv,Arena Workshop,Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,"Mercedes-Benz W123, ""People Eater's"" limousine from the 2015 action film, Mad Max: Fury Road",bruiser,4,6000,Rear-Wheel Drive,5,Mechanic,GTA Online,110.5,1609000,965400,69.751678,65,16.666668,53.030308,51.1121635,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3092,Dominator (Arena),https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/dominator-arena_320x180.jpg,Muscle,Vapid,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,Custom Ford Mustang from the 2008 film Death Race,dominator4,2,1550,Rear-Wheel Drive,5,Mechanic,GTA Online,131,1132000,679200,80.482697,93.75,26.666668,71.21212,68.02787125,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3091,Impaler (Arena),https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/impaler-arena_320x180.jpg,Muscle,Declasse,ArenaWar.tv,Garage (Personal Vehicle),Arena Workshop,1.46 Arena War,Can be sold only if purchased (High-End),2018-12-11,Pachenko's Buick from the movie Death Race,impaler2,2,1400,Rear-Wheel Drive,5,Mechanic,GTA Online,130,1209500,725700,83.165451,95,23.333334,72.727272,68.55651425,Arena Contender,Armed Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3086,Manchez Scout,https://www.gtabase.com/images/gta-5/vehicles/motorcycles/main/resized/manchez-scout_320x180.jpg,Motorcycles,Maibatsu,Warstock Cache & Carry,MC Clubhouse,Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2021-01-14,500cc KTM,manchez2,1,160,Rear-Wheel Drive,5,Mechanic,GTA Online,139.75,225000,135000,69.751678,66.25,26.666668,65,56.917087,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3085,Verus,https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/verus_320x180.jpg,Off-Road,Dinka,Warstock Cache & Carry,Garage (Personal Vehicle),Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2021-02-18,Polaris Sportsman MV850 and 570,verus,2,750,All-Wheel Drive,5,Mechanic,GTA Online,84.25,192000,115200,61.703407,33.75,8.666667,63.636364,41.93911,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3084,Brioso 300,https://www.gtabase.com/images/gta-5/vehicles/compacts/main/resized/brioso-300_320x180.jpg,Compacts,Grotti,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2020-12-22,Fiat 500,brioso2,2,650,Rear-Wheel Drive,4,Mechanic,GTA Online,86,610000,366000,62,45,8.666667,56,42.916667,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3083,Vetir,https://www.gtabase.com/images/gta-5/vehicles/military/main/resized/vetir_320x180.jpg,Military,,Warstock Cache & Carry,Pegasus Vehicle,Cannot be modified,1.52 Cayo Perico Heist,Cannot be sold,2021-01-28,Saviem SM8/Renault TRM-4000,vetir,10,5680,Rear-Wheel Drive,5,Pegasus Concierge,GTA Online,62,1630000,,53.655136,27.5,10,46.060608,34.303936,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3082,Weevil,https://www.gtabase.com/images/gta-5/vehicles/compacts/main/resized/weevil_320x180.jpg,Compacts,BF,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2020-12-22,Volkswagen Beetle,weevil,2,820,Rear-Wheel Drive,4,Mechanic,GTA Online,102.25,870000,522000,72.434425,47,8.666667,53.939396,45.510122,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3081,Slamtruck,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/slamtruck_320x180.jpg,Utility,Vapid,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2021-01-21,Suzy Stuchel's custom 1956 Ford COE 600 Hauler,slamtruck,2,6000,Rear-Wheel Drive,4,Mechanic,GTA Online,98.8,1310000,786000,75.11718,50,26.666668,71.21212,55.748992,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
3080,Itali RSX,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/itali-rsx_320x180.jpg,Sports,Grotti,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.52 Cayo Perico Heist,Can be sold only if purchased (High-End),2020-12-22,Ferrari SF90 Stradale,italirsx,2,1600,All-Wheel Drive,8,Mechanic,GTA Online,135.3,3465000,2079000,87.538353,100,45,100,83.134588,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
